Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q15_Values:customer-0_Id:0,74103,71124.9,67158,67887,68190,68454,98538,98538
q15_Values:customer-250_Id:1,56316,56205.1,55887,55931,56154,56316,56943,56943
q15_Values:customer-500_Id:2,37473,43487.5,43268,43429,43460,43519,43809,43809
q15_Values:customer-750_Id:3,18536,29969.6,29751,29875,29904,30108,30266,30266
q15_Values:customer-1000_Id:4,947,16762.0,16635,16665,16726,16816,17098,17098
q15_Values:customer-1500_Id:5,0,16058.5,15989,16008,16044,16095,16232,16232
q15_Values:customer_uncorrelated-0_Id:6,74888,71239.2,70699,71200,71277,71300,71576,71576
q15_Values:customer_uncorrelated-250_Id:7,56092,57755.4,56058,57769,57982,58148,58257,58257
q15_Values:customer_uncorrelated-500_Id:8,37561,48839.8,45073,45149,46203,47483,69695,69695
q15_Values:customer_uncorrelated-750_Id:9,18808,31358.6,30982,31070,31389,31527,32141,32141
q15_Values:customer_uncorrelated-1000_Id:10,0,16151.7,15961,16011,16109,16166,16572,16572
q15_Values:customer_uncorrelated-1500_Id:11,0,16213.2,15971,16000,16053,16344,16998,16998
q15_Values:customer_fd-0_Id:12,74825,70916.0,70425,70476,71032,71372,71671,71671
q15_Values:customer_fd-250_Id:13,58001,58703.0,58349,58541,58697,58715,59101,59101
q15_Values:customer_fd-500_Id:14,39149,48810.6,46114,47101,47579,49028,58542,58542
q15_Values:customer_fd-750_Id:15,20332,32440.9,31994,32015,32366,32865,33336,33336
q15_Values:customer_fd-1000_Id:16,1867,18080.6,17691,17722,18158,18453,18584,18584
q15_Values:customer_fd-1500_Id:17,0,16443.9,16103,16171,16272,16357,18204,18204

